site_id,address,city,state,metro,lat,lng,ev_score,population,ev_ownership,ev_usage_demand,street_traffic,income,proximity_amenities,foot_traffic,mall_occupancy,retailers,data_quality_grade,notes,owner_name,owner_email,owner_phone,property_type,parcel_id,lease_status,utility_provider,grid_capacity_pct,interconnection_queue_months,permit_status
SITE-0020,9729 Sunset Blvd,Seattle,WA,"Seattle, WA",47.575829,-122.267465,84,35,85,53,68,72,69,69,60,65,C,EV charging demand growing,ChargePoint Holdings,contact22@chargeco.com,(603) 886-8693,Industrial,APN-6609-248,unavailable,FPL,74,9,denied
SITE-0021,308 Highland Ave,Seattle,WA,"Seattle, WA",47.693922,-122.27358,24,76,86,40,42,67,18,56,38,69,A,,VoltStation Co,contact5@evpower.com,(654) 847-5493,Retail,APN-2671-203,unavailable,PG&E,87,1,pending
SITE-0022,1064 Elm Dr,Seattle,WA,"Seattle, WA",47.648422,-122.267661,59,26,88,73,89,26,42,84,15,74,B,Strong anchor tenants nearby,GreenCharge LLC,contact44@chargeco.com,(415) 255-7492,Parking Garage,APN-2726-955,unavailable,ConEd,41,10,pending
SITE-0023,7897 Tech Pkwy,Phoenix,AZ,"Phoenix, AZ",33.487757,-111.893676,44,35,32,48,24,33,65,29,24,57,A,,SunGrid Energy,contact15@chargeco.com,(459) 587-6842,Retail,APN-8242-422,restricted,APS,70,10,pending
SITE-0024,8411 Park Ave,Miami,FL,"Miami, FL",25.803033,-80.230808,43,48,51,53,48,71,37,19,43,61,A,Good visibility,GreenCharge LLC,contact14@chargeco.com,(566) 697-1026,Parking Garage,APN-1976-471,available,Xcel,37,7,denied
SITE-0025,2696 Innovation Way,Seattle,WA,"Seattle, WA",47.61263,-122.405901,29,50,65,21,46,49,88,83,34,19,B,Corner lot,EV Power Corp,contact26@evpower.com,(439) 402-5729,Gas Station,APN-6383-181,restricted,ComEd,71,16,pending
SITE-0026,1559 Tech Pkwy,Phoenix,AZ,"Phoenix, AZ",33.445455,-112.195392,23,22,69,46,80,33,61,24,82,59,C,,CleanDrive Inc,contact45@evpower.com,(858) 929-5426,Industrial,APN-1009-567,available,ComEd,39,17,approved
SITE-0027,8067 Tech Pkwy,Austin,TX,"Austin, TX",30.380132,-97.833737,43,77,65,25,43,59,64,62,34,10,A,Corner lot,VoltStation Co,contact19@chargeco.com,(479) 460-2792,Industrial,APN-1039-143,available,CenterPoint,62,4,pending
SITE-0028,4267 1st Ave,Los Angeles,CA,"Los Angeles, CA",34.054682,-118.34873,60,48,10,54,53,26,30,32,26,39,B,EV charging demand growing,CleanDrive Inc,contact23@metroev.com,(986) 275-5325,Commercial,APN-9968-237,restricted,PSE,78,1,approved
SITE-0029,2212 Innovation Way,Phoenix,AZ,"Phoenix, AZ",33.520505,-111.931453,86,29,26,53,72,28,43,25,68,25,A,High foot traffic area,GreenCharge LLC,contact37@chargeco.com,(724) 728-3687,Gas Station,APN-6436-904,available,Austin Energy,76,10,pending
SITE-0030,9263 1st Ave,Austin,TX,"Austin, TX",30.357125,-97.642528,57,64,15,93,71,47,23,55,47,30,A,Adjacent to shopping center,VoltStation Co,contact16@greencharge.com,(927) 607-2205,Retail,APN-8917-365,available,PSE,76,9,pending
SITE-0031,4834 Park Ave,Seattle,WA,"Seattle, WA",47.622333,-122.398967,74,94,77,31,40,46,42,45,82,18,A,Newly developed area,PowerUp Networks,contact3@metroev.com,(731) 561-6048,Parking Garage,APN-6147-990,available,ConEd,79,14,denied
SITE-0032,5546 2nd St,Denver,CO,"Denver, CO",39.603554,-104.942021,58,24,32,44,53,29,74,30,37,14,B,Corner lot,ChargePoint Holdings,contact42@greencharge.com,(558) 673-7646,Office Complex,APN-5085-829,unavailable,CenterPoint,39,5,pending
SITE-0033,8091 Pine St,Phoenix,AZ,"Phoenix, AZ",33.629096,-112.019814,48,20,36,90,51,83,16,78,37,46,A,,GridLink Energy,contact23@metroev.com,(877) 505-4772,Office Complex,APN-9594-463,restricted,Xcel,53,12,pending
SITE-0034,4301 Harbor Blvd,Miami,FL,"Miami, FL",25.862444,-80.337876,80,72,10,34,61,46,58,77,76,30,A,Good visibility,PowerUp Networks,contact38@sungrid.com,(673) 790-5514,Industrial,APN-1729-856,available,SCE,46,11,denied
SITE-0035,6695 1st Ave,Miami,FL,"Miami, FL",25.764617,-80.174711,30,20,23,94,25,91,74,52,5,14,B,,ChargePoint Holdings,contact5@sungrid.com,(225) 795-8282,Shopping Center,APN-3133-112,unavailable,CenterPoint,48,1,pending
SITE-0036,579 Highland Ave,Phoenix,AZ,"Phoenix, AZ",33.547242,-112.037661,93,87,68,40,31,47,53,62,45,40,A,,PowerUp Networks,contact13@sungrid.com,(710) 214-1338,Retail,APN-4891-495,restricted,Austin Energy,70,8,approved
SITE-0037,4533 Tech Pkwy,San Francisco,CA,"San Francisco, CA",37.722297,-122.486885,98,65,90,74,89,42,43,15,86,44,A,Strong anchor tenants nearby,VoltStation Co,contact6@sungrid.com,(742) 600-6559,Retail,APN-5152-947,restricted,APS,67,9,denied
SITE-0038,7837 Mission St,Seattle,WA,"Seattle, WA",47.639013,-122.327519,35,78,13,37,53,28,51,15,37,39,B,,VoltStation Co,contact3@chargeco.com,(933) 823-2128,Shopping Center,APN-6552-524,available,Austin Energy,31,14,denied
SITE-0039,7668 3rd Ave,San Francisco,CA,"San Francisco, CA",37.731956,-122.388466,72,90,75,47,81,36,56,41,7,7,B,Newly developed area,FastCharge Partners,contact5@metroev.com,(551) 553-3086,Mixed-Use,APN-1185-844,restricted,Austin Energy,61,1,denied
SITE-0040,9053 Mission St,Austin,TX,"Austin, TX",30.398428,-97.809876,84,57,46,49,49,51,29,52,29,60,B,,GridLink Energy,contact5@sungrid.com,(984) 428-8571,Industrial,APN-6797-451,restricted,ConEd,30,18,approved
SITE-0041,5077 Innovation Way,Miami,FL,"Miami, FL",25.822498,-80.162871,64,60,49,37,23,74,57,19,89,22,A,Adjacent to shopping center,PowerUp Networks,contact50@greencharge.com,(870) 517-6069,Office Complex,APN-3571-729,available,PSE,50,11,approved
SITE-0042,397 Pine St,Phoenix,AZ,"Phoenix, AZ",33.386341,-112.016897,50,81,23,38,38,91,24,49,72,65,A,Strong anchor tenants nearby,GreenCharge LLC,contact2@metroev.com,(344) 575-1339,Parking Garage,APN-5187-482,available,APS,37,11,pending
SITE-0043,4660 Sunset Blvd,Houston,TX,"Houston, TX",29.936875,-95.390536,28,33,32,44,48,80,40,26,47,81,A,,GridLink Energy,contact46@sungrid.com,(477) 218-3158,Parking Garage,APN-3677-996,restricted,PSE,40,10,denied
SITE-0044,4388 Oak Ave,Denver,CO,"Denver, CO",39.683141,-104.808318,60,91,43,42,40,84,59,62,22,33,A,Strong anchor tenants nearby,EV Power Corp,contact44@chargeco.com,(428) 475-5446,Industrial,APN-9624-115,unavailable,Xcel,63,14,pending
SITE-0045,9579 Commerce Dr,Denver,CO,"Denver, CO",39.741795,-104.879037,47,25,59,23,35,33,90,11,79,14,A,,SunGrid Energy,contact6@greencharge.com,(854) 605-3089,Gas Station,APN-8076-532,available,PG&E,46,13,pending
SITE-0046,2358 Energy Ln,Houston,TX,"Houston, TX",29.880284,-95.209301,43,25,50,70,62,81,23,19,64,81,B,High foot traffic area,PowerUp Networks,contact4@chargeco.com,(229) 223-5950,Industrial,APN-6563-827,restricted,PSE,78,14,denied
SITE-0047,7651 Market St,Seattle,WA,"Seattle, WA",47.578762,-122.272121,59,51,45,41,52,78,25,48,71,66,B,High foot traffic area,GreenCharge LLC,contact24@evpower.com,(742) 809-9207,Office Complex,APN-6196-487,restricted,APS,39,2,approved
SITE-0048,4914 Sunset Blvd,Phoenix,AZ,"Phoenix, AZ",33.627733,-111.853282,49,80,83,62,78,27,42,54,16,40,A,,GreenCharge LLC,contact39@greencharge.com,(761) 257-8854,Parking Garage,APN-1031-667,unavailable,FPL,64,3,approved
SITE-0049,2579 Park Ave,Houston,TX,"Houston, TX",29.816709,-95.492764,20,22,31,76,49,45,29,46,73,30,B,,GreenCharge LLC,contact43@chargeco.com,(672) 669-2523,Shopping Center,APN-2948-705,unavailable,Austin Energy,64,8,pending
SITE-0050,4713 3rd Ave,Denver,CO,"Denver, CO",39.680752,-104.812609,60,56,12,43,48,25,15,21,56,44,B,EV charging demand growing,Metro EV Solutions,contact14@sungrid.com,(861) 986-8645,Retail,APN-6731-594,unavailable,PSE,84,17,pending
SITE-0051,9389 Wilshire Blvd,Phoenix,AZ,"Phoenix, AZ",33.57086,-111.929054,82,91,70,56,52,88,57,63,81,82,A,High foot traffic area,EV Power Corp,contact46@chargeco.com,(706) 343-3223,Parking Garage,APN-1764-288,available,ConEd,42,10,approved
SITE-0052,6275 Pine St,Denver,CO,"Denver, CO",39.83987,-104.888922,93,76,54,71,63,73,61,73,73,14,A,Near highway exit,Metro EV Solutions,contact14@chargeco.com,(333) 765-9162,Retail,APN-7131-846,restricted,APS,52,12,approved
SITE-0053,9974 Mission St,San Francisco,CA,"San Francisco, CA",37.793057,-122.38015,92,92,75,54,31,32,65,14,77,16,B,Strong anchor tenants nearby,ChargePoint Holdings,contact19@evpower.com,(653) 748-2918,Mixed-Use,APN-8777-358,available,Xcel,57,3,denied
SITE-0054,4483 2nd St,Austin,TX,"Austin, TX",30.347283,-97.813458,26,39,46,10,27,47,51,68,37,14,A,,Metro EV Solutions,contact1@metroev.com,(432) 796-4933,Parking Garage,APN-4634-760,restricted,SCE,71,14,approved
SITE-0055,3552 Mission St,San Francisco,CA,"San Francisco, CA",37.800772,-122.422989,28,64,90,82,34,73,53,76,58,16,C,Near highway exit,VoltStation Co,contact46@sungrid.com,(604) 478-6005,Shopping Center,APN-5166-863,available,CenterPoint,66,5,pending
SITE-0056,7127 1st Ave,Denver,CO,"Denver, CO",39.660016,-104.83765,22,66,23,74,63,67,28,82,59,68,A,Newly developed area,GreenCharge LLC,contact13@evpower.com,(382) 504-2204,Retail,APN-6927-820,restricted,ConEd,78,9,pending
SITE-0057,5067 1st Ave,Miami,FL,"Miami, FL",25.866235,-80.305464,26,81,51,73,61,27,64,22,39,22,A,Adjacent to shopping center,GridLink Energy,contact36@metroev.com,(662) 673-6622,Office Complex,APN-3956-255,available,PSE,45,10,denied
SITE-0058,8985 2nd St,San Francisco,CA,"San Francisco, CA",37.79797,-122.358841,55,26,67,44,68,27,20,67,62,22,B,Adjacent to shopping center,PowerUp Networks,contact24@evpower.com,(726) 475-7978,Parking Garage,APN-3635-518,restricted,PSE,35,12,approved
SITE-0059,7303 Market St,Austin,TX,"Austin, TX",30.318783,-97.716061,83,92,14,26,90,65,47,65,46,83,B,Corner lot,PowerUp Networks,contact45@greencharge.com,(491) 588-6268,Commercial,APN-6546-848,restricted,ComEd,58,11,denied
SITE-0060,3803 Energy Ln,Austin,TX,"Austin, TX",30.250711,-97.731304,82,63,84,16,30,54,27,10,52,47,A,Good visibility,PowerUp Networks,contact37@chargeco.com,(216) 749-4989,Industrial,APN-4919-916,restricted,CenterPoint,41,7,pending
SITE-0061,9173 Harbor Blvd,Los Angeles,CA,"Los Angeles, CA",34.066546,-118.200625,40,60,63,29,77,90,55,35,54,55,A,Near highway exit,GreenCharge LLC,contact40@greencharge.com,(890) 507-1078,Mixed-Use,APN-7266-390,available,Xcel,66,18,denied
SITE-0062,8685 Elm Dr,San Francisco,CA,"San Francisco, CA",37.712038,-122.495069,28,15,68,46,66,47,44,34,32,59,B,Near highway exit,PowerUp Networks,contact30@greencharge.com,(632) 429-9653,Industrial,APN-3276-425,available,SCE,63,3,approved
SITE-0063,4605 2nd St,Phoenix,AZ,"Phoenix, AZ",33.392011,-111.905333,37,64,85,47,85,47,21,26,79,60,A,Corner lot,EV Power Corp,contact36@greencharge.com,(848) 228-7228,Commercial,APN-2795-528,restricted,ComEd,53,10,approved
SITE-0064,844 1st Ave,Los Angeles,CA,"Los Angeles, CA",33.893034,-118.090348,40,83,54,24,78,91,78,78,23,65,A,,SunGrid Energy,contact32@greencharge.com,(483) 962-9024,Commercial,APN-5525-292,available,Austin Energy,33,5,approved
SITE-0065,3486 Maple Dr,San Francisco,CA,"San Francisco, CA",37.721557,-122.353102,78,61,90,77,79,84,66,46,25,36,A,Corner lot,GreenCharge LLC,contact42@greencharge.com,(310) 678-3194,Gas Station,APN-3635-806,unavailable,ComEd,49,9,approved
SITE-0066,9197 Oak Ave,New York,NY,"New York, NY",40.62239,-73.927199,60,45,12,46,75,75,22,77,17,61,C,Strong anchor tenants nearby,GridLink Energy,contact2@chargeco.com,(346) 265-9016,Industrial,APN-6939-957,unavailable,ComEd,43,1,approved
SITE-0067,4607 Pine St,Austin,TX,"Austin, TX",30.447729,-97.600794,39,30,81,86,69,38,67,28,20,46,A,High foot traffic area,FastCharge Partners,contact46@greencharge.com,(986) 329-1835,Retail,APN-9210-899,unavailable,SCE,92,8,denied
SITE-0068,9476 Commerce Dr,New York,NY,"New York, NY",40.747288,-73.831185,86,80,50,82,90,68,63,11,10,35,C,Strong anchor tenants nearby,CleanDrive Inc,contact28@greencharge.com,(776) 326-7184,Shopping Center,APN-1766-121,restricted,PG&E,32,4,denied
SITE-0069,1843 Energy Ln,San Francisco,CA,"San Francisco, CA",37.803046,-122.449127,27,47,13,19,36,74,66,45,74,5,A,,Metro EV Solutions,contact38@sungrid.com,(431) 415-6592,Retail,APN-6980-575,available,CenterPoint,47,14,approved
SITE-0070,1278 Pine St,Denver,CO,"Denver, CO",39.6257,-105.019096,24,29,19,68,66,89,19,49,83,81,A,Corner lot,GridLink Energy,contact47@evpower.com,(705) 563-7282,Retail,APN-6010-945,restricted,Austin Energy,34,8,pending
SITE-0071,5688 Park Ave,Phoenix,AZ,"Phoenix, AZ",33.536957,-111.978526,45,51,56,88,24,26,84,84,37,59,B,Adjacent to shopping center,GreenCharge LLC,contact13@evpower.com,(584) 759-6541,Shopping Center,APN-2809-142,unavailable,PG&E,86,4,pending
SITE-0072,4852 Innovation Way,New York,NY,"New York, NY",40.810564,-73.871041,72,32,58,59,32,83,25,66,78,27,B,Newly developed area,ChargePoint Holdings,contact37@metroev.com,(646) 477-4525,Retail,APN-9535-822,unavailable,SCE,34,11,denied
SITE-0073,1277 Main St,New York,NY,"New York, NY",40.763509,-73.785978,56,69,25,94,68,69,47,78,81,55,B,Strong anchor tenants nearby,CleanDrive Inc,contact21@metroev.com,(249) 658-5637,Office Complex,APN-2754-986,available,APS,59,6,denied
SITE-0074,2463 Innovation Way,Houston,TX,"Houston, TX",29.670829,-95.359862,77,43,10,50,32,53,71,50,84,57,C,EV charging demand growing,VoltStation Co,contact4@chargeco.com,(623) 612-4787,Gas Station,APN-7172-953,available,APS,33,17,pending
SITE-0075,8385 Park Ave,Los Angeles,CA,"Los Angeles, CA",33.942884,-118.320548,62,73,45,67,32,52,69,77,25,18,A,,VoltStation Co,contact49@evpower.com,(837) 722-2944,Industrial,APN-6893-367,restricted,APS,38,14,denied
SITE-0076,3967 Innovation Way,New York,NY,"New York, NY",40.782764,-73.986126,85,70,25,64,69,47,49,70,60,28,A,,ChargePoint Holdings,contact40@sungrid.com,(394) 799-1308,Industrial,APN-2029-374,restricted,PG&E,39,5,denied
SITE-0077,6995 Oak Ave,Austin,TX,"Austin, TX",30.277283,-97.702394,59,68,57,75,75,69,74,44,90,68,A,Newly developed area,Metro EV Solutions,contact20@sungrid.com,(412) 320-4630,Commercial,APN-1745-617,restricted,CenterPoint,51,5,pending
SITE-0078,2590 Tech Pkwy,Phoenix,AZ,"Phoenix, AZ",33.492404,-111.969485,71,76,83,13,27,25,27,72,7,23,A,High foot traffic area,PowerUp Networks,contact7@sungrid.com,(939) 528-6992,Commercial,APN-7143-556,restricted,FPL,66,12,denied
SITE-0079,2498 2nd St,Chicago,IL,"Chicago, IL",41.761003,-87.556893,73,30,32,87,47,61,79,44,44,33,B,EV charging demand growing,EV Power Corp,contact6@sungrid.com,(989) 635-9340,Shopping Center,APN-7919-391,restricted,CenterPoint,93,3,pending
SITE-0080,1136 Harbor Blvd,Denver,CO,"Denver, CO",39.638446,-105.006307,49,23,83,72,62,60,29,73,78,60,C,Strong anchor tenants nearby,GreenCharge LLC,contact37@greencharge.com,(241) 912-6769,Parking Garage,APN-4003-721,unavailable,ComEd,39,12,denied
SITE-0081,1390 Broadway,Seattle,WA,"Seattle, WA",47.570554,-122.266118,41,46,43,83,76,49,59,14,11,61,B,Near highway exit,GreenCharge LLC,contact46@chargeco.com,(615) 344-2929,Shopping Center,APN-6206-283,unavailable,ConEd,42,10,pending
SITE-0082,2358 Highland Ave,Los Angeles,CA,"Los Angeles, CA",34.018164,-118.204985,72,18,29,67,81,93,38,47,9,9,A,,PowerUp Networks,contact12@chargeco.com,(215) 427-2531,Commercial,APN-7405-674,available,Austin Energy,88,7,denied
SITE-0083,1776 Park Ave,Houston,TX,"Houston, TX",29.70123,-95.345343,71,65,44,15,21,68,27,61,21,72,A,High foot traffic area,GridLink Energy,contact27@greencharge.com,(484) 601-9386,Retail,APN-3246-849,restricted,APS,36,4,approved
SITE-0084,2971 Pine St,Austin,TX,"Austin, TX",30.296735,-97.70167,94,79,59,65,65,76,48,33,38,70,A,Near highway exit,FastCharge Partners,contact39@chargeco.com,(513) 640-3571,Office Complex,APN-8833-749,unavailable,ConEd,79,9,approved
SITE-0085,1100 Energy Ln,New York,NY,"New York, NY",40.600247,-74.095571,61,93,87,86,51,44,27,20,54,85,A,Corner lot,EV Power Corp,contact7@sungrid.com,(374) 735-5374,Commercial,APN-2738-273,unavailable,PG&E,36,12,denied
SITE-0086,3319 Harbor Blvd,Miami,FL,"Miami, FL",25.862399,-80.126978,72,34,65,75,72,51,28,56,65,74,C,,SunGrid Energy,contact18@sungrid.com,(431) 743-2712,Parking Garage,APN-1812-748,available,APS,45,18,approved
SITE-0087,6766 3rd Ave,Phoenix,AZ,"Phoenix, AZ",33.552143,-112.16736,50,20,73,42,86,69,85,17,33,56,A,Near highway exit,FastCharge Partners,contact33@metroev.com,(289) 242-5317,Commercial,APN-2999-391,unavailable,PG&E,35,14,pending
SITE-0088,580 Mission St,San Francisco,CA,"San Francisco, CA",37.842999,-122.495856,68,44,89,63,90,79,32,38,87,59,B,,SunGrid Energy,contact3@chargeco.com,(604) 737-5475,Office Complex,APN-4802-617,restricted,FPL,35,3,pending
SITE-0089,4661 Harbor Blvd,Seattle,WA,"Seattle, WA",47.74075,-122.427559,55,50,11,65,56,59,65,57,56,37,A,,CleanDrive Inc,contact1@sungrid.com,(275) 610-6820,Commercial,APN-6563-834,unavailable,ConEd,73,5,approved
SITE-0090,2460 Maple Dr,Austin,TX,"Austin, TX",30.291701,-97.701704,22,68,84,25,22,42,17,33,65,21,B,Corner lot,ChargePoint Holdings,contact11@evpower.com,(487) 359-9235,Commercial,APN-1702-840,available,Austin Energy,63,4,approved
SITE-0091,540 Pine St,Austin,TX,"Austin, TX",30.317526,-97.756527,30,46,82,26,23,49,47,18,78,77,A,Near highway exit,SunGrid Energy,contact38@metroev.com,(382) 945-8952,Industrial,APN-3366-846,unavailable,ComEd,51,11,approved
SITE-0092,3810 Innovation Way,Phoenix,AZ,"Phoenix, AZ",33.646217,-111.934735,39,67,32,27,67,54,41,83,37,63,B,Newly developed area,PowerUp Networks,contact27@sungrid.com,(269) 659-6022,Mixed-Use,APN-1147-863,unavailable,Austin Energy,53,9,approved
SITE-0093,9381 Energy Ln,Chicago,IL,"Chicago, IL",41.793383,-87.711579,52,53,81,56,30,70,19,15,44,70,C,Adjacent to shopping center,VoltStation Co,contact33@greencharge.com,(483) 264-6975,Retail,APN-4228-672,available,ComEd,38,3,pending
SITE-0094,9693 Main St,Houston,TX,"Houston, TX",29.898844,-95.252656,40,88,12,20,47,26,59,17,55,22,A,,VoltStation Co,contact47@metroev.com,(406) 241-3434,Commercial,APN-9990-549,unavailable,PG&E,76,18,approved
SITE-0095,8254 1st Ave,San Francisco,CA,"San Francisco, CA",37.763444,-122.432879,73,43,61,33,90,66,22,64,28,49,A,Near highway exit,PowerUp Networks,contact27@metroev.com,(252) 672-6328,Gas Station,APN-6955-618,unavailable,Austin Energy,57,7,pending
SITE-0096,9570 Park Ave,Phoenix,AZ,"Phoenix, AZ",33.501471,-111.990336,90,59,19,38,56,45,48,37,32,75,A,,Metro EV Solutions,contact43@evpower.com,(349) 939-5194,Retail,APN-8430-943,available,Austin Energy,62,16,denied
SITE-0097,4745 Elm Dr,Houston,TX,"Houston, TX",29.651201,-95.531364,28,15,79,85,27,46,47,62,51,26,A,Strong anchor tenants nearby,ChargePoint Holdings,contact8@metroev.com,(435) 363-1839,Commercial,APN-5720-571,unavailable,Austin Energy,60,7,denied
SITE-0098,5575 Pine St,Phoenix,AZ,"Phoenix, AZ",33.572571,-111.963311,79,62,41,37,75,63,87,79,68,40,B,High foot traffic area,GridLink Energy,contact37@evpower.com,(995) 715-9410,Retail,APN-7757-744,restricted,ComEd,51,17,approved
SITE-0099,8981 Wilshire Blvd,Phoenix,AZ,"Phoenix, AZ",33.572814,-112.162917,23,62,12,44,57,56,53,19,56,11,B,,GreenCharge LLC,contact37@greencharge.com,(336) 270-3911,Shopping Center,APN-8742-341,unavailable,FPL,65,5,approved
SITE-0100,5474 Pine St,Chicago,IL,"Chicago, IL",41.918041,-87.554678,48,22,16,67,74,78,29,17,35,84,A,High foot traffic area,EV Power Corp,contact20@sungrid.com,(421) 624-6034,Commercial,APN-5510-286,available,FPL,60,6,pending
